Hostname,Location,Date,Time,Temp,Hum,Press,Alt,SM1_T,SM1_M,SM2_T,SM2_M
heron,BCP_Nootsie,2022-10-27,00:00:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,00:10:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,00:20:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,00:30:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,00:40:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,00:50:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,01:00:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,01:10:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,01:20:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,01:30:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,01:40:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,01:50:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,02:00:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,02:10:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,02:20:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,02:30:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,02:40:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,02:50:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,03:00:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,03:10:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,03:20:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,03:30:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,03:40:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,03:50:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,04:00:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,04:10:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,04:20:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,04:30:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,04:40:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,04:50:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,05:00:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,05:10:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,05:20:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,05:30:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,05:40:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,05:50:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,06:00:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,06:10:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,06:20:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,06:30:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,06:40:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,06:50:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,07:00:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,07:10:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,07:20:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,07:30:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,07:40:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,07:50:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,08:00:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,08:10:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,08:20:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,08:30:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,08:40:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,08:50:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,09:00:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,09:10:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,09:20:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,09:30:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,09:40:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,09:50:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,10:00:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,10:10:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,10:20:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,10:30:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,10:40:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,10:50:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,11:00:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,11:10:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,11:20:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,11:30:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,11:40:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,11:50:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,12:00:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,12:10:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,12:20:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,12:30:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,12:40:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,12:50:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,13:00:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,13:10:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,13:20:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,13:30:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,13:40:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,13:50:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,14:00:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,14:10:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,14:20:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,14:30:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,14:40:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,14:50:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,15:00:02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
heron,BCP_Nootsie,2022-10-27,15:10:01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
